id,Title,Content,Permalink,_filled,_featured,_job_hours,_company_avatar,_company_facebook,_company_twitter,_company_googleplus,_company_linkedin,_company_instagram,_company_github,_company_pinterest,_claimed,geolocation_lat,geolocation_long,geolocation_formatted_address,geolocation_street_number,geolocation_street,geolocation_city,geolocation_state_short,geolocation_state_long,geolocation_postcode,geolocation_country_short,geolocation_country_long,geolocated,_job_location,_application,_company_website,_company_video,_job_expires,_phone,_gallery_images,_gallery,_job_author,_products,geolocation_map_lock_status,indica,_indica,hybrid,_hybrid,topicals,_topicals,edibles,_edibles,accessories,_accessories,_bubble_hash,vape_cart,_vape_cart,first_time_patient,_first_time_patient,coupons,_coupons,sativa,_sativa,bho,_bho,co2,_co2,rosin,_rosin,bubble_hash,_wp_old_slug,_average_rating,rating,_submitting_key,_job_title,_job_description,_featured_image,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Business Regions","Business Categories","Business Tags"
98,"Wellness Earth Energy Dispensary",,http://kushy.net/business/wellness-earth-energy-dispensary/,0,0,"a:7:{i:1;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:2;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:3;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:4;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:5;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:6;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}i:0;a:2:{s:5:""start"";s:0:"""";s:3:""end"";s:0:"""";}}",http://weedporndaily.com/delivery/wp-content/uploads/2016/10/theweed.jpg,,,,,,,,0,34.1403471,-118.3837512,"11557 Ventura Blvd, Studio City, CA 91604, USA",11557,"Ventura Boulevard","Los Angeles",CA,California,91604,US,"United States",1,"11557 Ventura Blvd, Studio City, CA 91604",musoka@gmail.com,,,,,a:0:{},a:0:{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/theweed.jpg,theweed.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/theweed.jpg,979,theweed,,,,"United States>California",,
985,"Old Glory",,http://kushy.net/business/old-glory/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,41.3973809,-72.854575,"151 Washington Ave, North Haven, CT 06473, USA",151,"Washington Avenue","North Haven",CT,Connecticut,06473,US,"United States",1,"151 Washington Avenue, North Haven, Connecticut 6473",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>Connecticut",Headshop,
986,"F5 Smoke Shop",,http://kushy.net/business/f5-smoke-shop/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.619561,-75.4318659,"1529 Hanover Ave, Allentown, PA 18109, USA",1529,"Hanover Avenue",Allentown,PA,Pennsylvania,18109,US,"United States",1,"1529 Hanover Avenue, Allentown, Pennsylvania 18109",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>Pennsylvania",Headshop,
987,"Smokers Choice",,http://kushy.net/business/smokers-choice/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,41.4299156,-74.4231446,"125 Dolson Ave, Middletown, NY 10940, USA",125,"Dolson Avenue",Middletown,NY,"New York",10940,US,"United States",1,"125 Dolson Avenue, Middletown, New York 10940",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
988,"Liquid Glass Inc",,http://kushy.net/business/liquid-glass-inc/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,41.0906519,-73.9179146,"Nyack, NY 10960, USA",,,Nyack,NY,"New York",10960,US,"United States",1,"66 S Broadway # Ll, Nyack, New York 10960",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
989,Nutz,,http://kushy.net/business/nutz/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,41.6072548,-73.9109072,"1708 U.S. 9, Wappingers Falls, NY 12590, USA",1708,"U.S. 9","Wappingers Falls",NY,"New York",12590,US,"United States",1,"1708 Route 9, Wappingers Falls, New York 12590",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
990,Pavilion,,http://kushy.net/business/pavilion/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.9268692,-73.11794,"764 NY-25A, Setauket- East Setauket, NY 11733, USA",764,"New York 25A","Setauket- East Setauket",NY,"New York",11733,US,"United States",1,"764 Route 25A, Setauket, New York 11733",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
991,"Jamaica Junction",,http://kushy.net/business/jamaica-junction/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,41.3170948,-74.1693356,"400 NY-17M, Monroe, NY 10950, USA",400,"Route 17M",Monroe,NY,"New York",10950,US,"United States",1,"400 Rt 17M, Monroe, New York 10950",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
992,"Pipe Dream",,http://kushy.net/business/pipe-dream/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,41.3209708,-74.1847391,"581 NY-17M, Monroe, NY 10950, USA",581,"Route 17M",Monroe,NY,"New York",10950,US,"United States",1,"581 Route 17M, Monroe, New York 10950",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New York",Headshop,
993,"English Tobacco",,http://kushy.net/business/english-tobacco/,0,0,,http://weedporndaily.com/images/weed-leaf2.gif,,,,,,,,,40.3239887,-74.360765,"557 Englishtown Rd, Monroe Township, NJ 08831, USA",557,"Englishtown Road","Monroe Township",NJ,"New Jersey",08831,US,"United States",1,"557 Englishtown Rd, Monroe Township, New Jersey 8831",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kushy.net/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,vlcsnap-2016-06-25-13h58m06s561.jpg,/home/kushy/public_html/wp-content/uploads/2016/10/vlcsnap-2016-06-25-13h58m06s561.jpg,977,vlcsnap-2016-06-25-13h58m06s561,,,,"United States>New Jersey",Headshop,
